Ranking by Gender & Year,First Name,Frequency,Gender,Year
356,Kobe,12,Boy,2021
356,Kohen ,12,Boy,2021
356,Krishiv ,12,Boy,2021
356,Niko ,12,Boy,2021
356,Rafael ,12,Boy,2021
356,Santiago ,12,Boy,2021
356,Syed ,12,Boy,2021
356,Tripp ,12,Boy,2021
356,Wade ,12,Boy,2021
356,Wilder ,12,Boy,2021
356,Yaseen ,12,Boy,2021
375,Angad ,11,Boy,2021
375,Armaan,11,Boy,2021
375,Aveer ,11,Boy,2021
375,Aziel ,11,Boy,2021
375,Callan ,11,Boy,2021
375,Camden ,11,Boy,2021
375,Edison ,11,Boy,2021
375,Ekam ,11,Boy,2021
375,Emmanuel ,11,Boy,2021
375,Fletcher ,11,Boy,2021
375,Jaxton ,11,Boy,2021
375,Jaxx ,11,Boy,2021
375,Kash ,11,Boy,2021
375,Kashton ,11,Boy,2021
375,Kingsley ,11,Boy,2021
375,Kyrie ,11,Boy,2021
375,Lennon ,11,Boy,2021
375,Lorenzo ,11,Boy,2021
375,Mehtab ,11,Boy,2021
375,Miguel ,11,Boy,2021
375,Oakland ,11,Boy,2021
375,Raiden,11,Boy,2021
375,Sahib,11,Boy,2021
375,Scott,11,Boy,2021
375,Troy ,11,Boy,2021
401,Amen ,10,Boy,2021
401,Anderson ,10,Boy,2021
401,Anhad,10,Boy,2021
401,Archie ,10,Boy,2021
401,Arjun ,10,Boy,2021
401,Bilal ,10,Boy,2021
401,Boden ,10,Boy,2021
401,Boston ,10,Boy,2021
401,Cassius ,10,Boy,2021
401,Cedric ,10,Boy,2021
401,Duke ,10,Boy,2021
401,Fateh ,10,Boy,2021
401,Francis ,10,Boy,2021
401,Gurbaaz,10,Boy,2021
401,Hank ,10,Boy,2021
401,Harlan ,10,Boy,2021
401,Harry ,10,Boy,2021
401,Hugh ,10,Boy,2021
401,Isa,10,Boy,2021
401,Ivaan,10,Boy,2021
401,Jamie,10,Boy,2021
401,Jonas ,10,Boy,2021
401,Kenneth ,10,Boy,2021
401,Kieran ,10,Boy,2021
401,Kylan ,10,Boy,2021
401,Linden ,10,Boy,2021
401,Malek ,10,Boy,2021
401,Prince ,10,Boy,2021
401,Reuben ,10,Boy,2021
401,Richard ,10,Boy,2021
401,Sage ,10,Boy,2021
401,Samrath ,10,Boy,2021
401,Solomon ,10,Boy,2021
401,Stanley ,10,Boy,2021
401,Stetson ,10,Boy,2021
401,Titus ,10,Boy,2021
401,Ty ,10,Boy,2021
401,Van ,10,Boy,2021
401,Waris ,10,Boy,2021
401,Zayd ,10,Boy,2021
441,Abdul ,9,Boy,2021
441,Alec ,9,Boy,2021
441,Ammar,9,Boy,2021
441,Aviraj ,9,Boy,2021
441,Ayman ,9,Boy,2021
441,Baker ,9,Boy,2021
441,Briggs ,9,Boy,2021
441,Brodie ,9,Boy,2021
441,Bronson ,9,Boy,2021
441,Cade ,9,Boy,2021
441,Clayton ,9,Boy,2021
441,Damon ,9,Boy,2021
441,Danny ,9,Boy,2021
441,Desmond ,9,Boy,2021
441,Emmitt ,9,Boy,2021
441,Erik ,9,Boy,2021
441,Forrest ,9,Boy,2021
441,Ivar ,9,Boy,2021
441,Jay ,9,Boy,2021
441,Kailer ,9,Boy,2021
441,Kasen ,9,Boy,2021
441,Keanu,9,Boy,2021
441,Keaton ,9,Boy,2021
441,Kylo ,9,Boy,2021
441,Lucca ,9,Boy,2021
441,Mathias ,9,Boy,2021
441,Maximilian,9,Boy,2021
441,Neil ,9,Boy,2021
441,Nikolai ,9,Boy,2021
441,Nirvaan ,9,Boy,2021
441,Oaklen ,9,Boy,2021
441,Osman,9,Boy,2021
441,Otis ,9,Boy,2021
441,Quinton ,9,Boy,2021
441,Raymond ,9,Boy,2021
441,Reed ,9,Boy,2021
441,Reign,9,Boy,2021
441,Reyansh,9,Boy,2021
441,Robin,9,Boy,2021
441,Skyler ,9,Boy,2021
441,Sylas ,9,Boy,2021
441,Yuvraj ,9,Boy,2021
441,Zaid ,9,Boy,2021
484,Aaryan ,8,Boy,2021
484,Aden ,8,Boy,2021
484,Adonis,8,Boy,2021
484,Alistair ,8,Boy,2021
484,Ambrose ,8,Boy,2021
484,Andre ,8,Boy,2021
484,Ash ,8,Boy,2021
484,Benedict,8,Boy,2021
484,Brian,8,Boy,2021
484,Bryan ,8,Boy,2021
484,Carlos ,8,Boy,2021
484,Chance ,8,Boy,2021
484,Clay ,8,Boy,2021
484,Clyde ,8,Boy,2021
484,Colter ,8,Boy,2021
484,Conrad ,8,Boy,2021
484,Dominik ,8,Boy,2021
484,Dorian ,8,Boy,2021
484,Duncan ,8,Boy,2021
484,Flynn ,8,Boy,2021
484,Gordon ,8,Boy,2021
484,Grant ,8,Boy,2021
484,Gunnar ,8,Boy,2021
484,Gunner ,8,Boy,2021
484,Harris ,8,Boy,2021
484,Heath ,8,Boy,2021
484,Himmat ,8,Boy,2021
484,Ilyas ,8,Boy,2021
484,Jorawar ,8,Boy,2021
484,Karter ,8,Boy,2021
484,Kayce ,8,Boy,2021
484,Koa ,8,Boy,2021
484,Leif ,8,Boy,2021
484,Madden ,8,Boy,2021
484,Maksim ,8,Boy,2021
484,Matthias ,8,Boy,2021
484,Maxim,8,Boy,2021
484,Mitchell ,8,Boy,2021
484,Pierce ,8,Boy,2021
484,Ranveer ,8,Boy,2021
484,Reese ,8,Boy,2021
484,Rogan ,8,Boy,2021
484,Rowen ,8,Boy,2021
484,Salem ,8,Boy,2021
484,Samar ,8,Boy,2021
484,Shawn ,8,Boy,2021
484,Sonny ,8,Boy,2021
484,Taha ,8,Boy,2021
484,Taylor ,8,Boy,2021
484,Thiago ,8,Boy,2021
484,Victor ,8,Boy,2021
484,Warren ,8,Boy,2021
484,Wylder ,8,Boy,2021
484,Zain,8,Boy,2021
484,Zakaria,8,Boy,2021
484,Zakariya,8,Boy,2021
484,Zohan,8,Boy,2021
541,Aarush,7,Boy,2021
541,Adrien ,7,Boy,2021
541,Albert,7,Boy,2021
541,Anas,7,Boy,2021
541,Andy ,7,Boy,2021
541,Apollo ,7,Boy,2021
541,Arman,7,Boy,2021
541,Asad,7,Boy,2021
541,Avi ,7,Boy,2021
541,Axl ,7,Boy,2021
541,Ayan ,7,Boy,2021
541,Azariah ,7,Boy,2021
541,Bauer ,7,Boy,2021
541,Beck ,7,Boy,2021
541,Bellamy ,7,Boy,2021
541,Calum ,7,Boy,2021
541,Casper,7,Boy,2021
541,Chester ,7,Boy,2021
541,Colin ,7,Boy,2021
541,Dane ,7,Boy,2021
541,Darius ,7,Boy,2021
541,Daxon ,7,Boy,2021
541,Denver ,7,Boy,2021
541,Dexter ,7,Boy,2021
541,Drew ,7,Boy,2021
541,Elio ,7,Boy,2021
541,Emilio ,7,Boy,2021
541,Ewan ,7,Boy,2021
541,Frank ,7,Boy,2021
541,Fynn ,7,Boy,2021
541,Graham ,7,Boy,2021
541,Grey ,7,Boy,2021
541,Idris,7,Boy,2021
541,Ishan,7,Boy,2021
541,Ismail,7,Boy,2021
541,Josh ,7,Boy,2021
541,Jujhar ,7,Boy,2021
541,Karim,7,Boy,2021
541,Kendrick ,7,Boy,2021
541,Kenzo ,7,Boy,2021
541,Khaled,7,Boy,2021
541,Khalid ,7,Boy,2021
541,Killian ,7,Boy,2021
541,Koen ,7,Boy,2021
541,Krew ,7,Boy,2021
541,Landen ,7,Boy,2021
541,Link ,7,Boy,2021
541,Mackenzie ,7,Boy,2021
541,Matias,7,Boy,2021
541,Mylo,7,Boy,2021
541,Nael ,7,Boy,2021
541,Nicolas ,7,Boy,2021
541,Quentin ,7,Boy,2021
541,Rhodes ,7,Boy,2021
541,Ruben ,7,Boy,2021
541,Sami ,7,Boy,2021
541,Samson ,7,Boy,2021
541,Shane ,7,Boy,2021
541,Shaun ,7,Boy,2021
541,Sulaiman ,7,Boy,2021
541,Sutter ,7,Boy,2021
541,Sutton ,7,Boy,2021
541,Thaddeus ,7,Boy,2021
541,Tommy ,7,Boy,2021
541,Vivaan,7,Boy,2021
541,Yasir,7,Boy,2021
541,Yousef,7,Boy,2021
541,Zaviyar ,7,Boy,2021
609,Abdirahman,6,Boy,2021
609,Abdulrahman,6,Boy,2021
609,Agastya ,6,Boy,2021
609,Alden ,6,Boy,2021
609,Alder ,6,Boy,2021
609,Amanuel ,6,Boy,2021
609,Andrei ,6,Boy,2021
609,Angel ,6,Boy,2021
609,Angus ,6,Boy,2021
609,Arnold,6,Boy,2021
609,Arvin ,6,Boy,2021
609,Atreus ,6,Boy,2021
609,Avyaan ,6,Boy,2021
609,Avyan ,6,Boy,2021
609,Beauden ,6,Boy,2021
609,Bohdan ,6,Boy,2021
609,Bowie ,6,Boy,2021
609,Brandon ,6,Boy,2021
609,Carmelo ,6,Boy,2021
609,Cassian ,6,Boy,2021
609,Chris ,6,Boy,2021
609,Cillian ,6,Boy,2021
609,Coen ,6,Boy,2021
609,Conner ,6,Boy,2021
609,Curtis,6,Boy,2021
609,Dalton ,6,Boy,2021
609,Douglas ,6,Boy,2021
609,Eesa,6,Boy,2021
609,Elon ,6,Boy,2021
609,Emery ,6,Boy,2021
609,Evander ,6,Boy,2021
609,Finnegan ,6,Boy,2021
609,Finnigan ,6,Boy,2021
609,Ford ,6,Boy,2021
609,Forest ,6,Boy,2021
609,Garrett ,6,Boy,2021
609,Gurshabad ,6,Boy,2021
609,Harun,6,Boy,2021
609,Hendrik ,6,Boy,2021
609,Israel ,6,Boy,2021
609,Issac ,6,Boy,2021
609,Jamieson ,6,Boy,2021
609,Jaylen ,6,Boy,2021
609,Jedidiah ,6,Boy,2021
609,Joaquin ,6,Boy,2021
609,Joey ,6,Boy,2021
609,Johan ,6,Boy,2021
609,Jones ,6,Boy,2021
609,Julius ,6,Boy,2021
609,Kaiser ,6,Boy,2021
609,Kaison ,6,Boy,2021
609,Kaius ,6,Boy,2021
609,Keegan ,6,Boy,2021
609,Keenan ,6,Boy,2021
609,Krishna ,6,Boy,2021
609,Kyden,6,Boy,2021
609,Kyzer ,6,Boy,2021
609,Layne ,6,Boy,2021
609,Leonidas,6,Boy,2021
609,Leroy ,6,Boy,2021
609,Luciano,6,Boy,2021
609,Luis,6,Boy,2021
609,Mahir,6,Boy,2021
609,Mahmoud ,6,Boy,2021
609,Manuel,6,Boy,2021
609,Marshall ,6,Boy,2021
609,Marwan,6,Boy,2021
609,Memphis ,6,Boy,2021
609,Merrick ,6,Boy,2021
609,Mohamad ,6,Boy,2021
609,Musab ,6,Boy,2021
609,Natan ,6,Boy,2021
609,Neo ,6,Boy,2021
609,Niall ,6,Boy,2021
609,Nihal ,6,Boy,2021
609,Nikola,6,Boy,2021
609,Nirvair,6,Boy,2021
609,Ocean ,6,Boy,2021
609,Ollie ,6,Boy,2021
609,Om ,6,Boy,2021
609,Orson ,6,Boy,2021
609,Oskar ,6,Boy,2021
609,Reece ,6,Boy,2021
609,Rian,6,Boy,2021
609,Rio ,6,Boy,2021
609,Rocco ,6,Boy,2021
609,Royce ,6,Boy,2021
609,Salman,6,Boy,2021
609,Sartaj,6,Boy,2021
609,Shea ,6,Boy,2021
609,Stephen ,6,Boy,2021
609,Tatum ,6,Boy,2021
609,Tegh ,6,Boy,2021
609,Torin ,6,Boy,2021
609,Turner ,6,Boy,2021
609,Veer ,6,Boy,2021
609,Viraj ,6,Boy,2021
609,Westyn ,6,Boy,2021
609,Youssef,6,Boy,2021
609,Zachariah ,6,Boy,2021
609,Zeke ,6,Boy,2021
710,Abdullah,5,Boy,2021
710,Abdullahi ,5,Boy,2021
710,Abeer,5,Boy,2021
710,Agamjot ,5,Boy,2021
710,Ajit ,5,Boy,2021
710,Aleksander ,5,Boy,2021
710,Alexandre ,5,Boy,2021
710,Alfred ,5,Boy,2021
710,Amari ,5,Boy,2021
710,Ameer,5,Boy,2021
710,Andres ,5,Boy,2021
710,Angelo ,5,Boy,2021
710,Ares,5,Boy,2021
710,Arhaan,5,Boy,2021
710,Atharv,5,Boy,2021
710,Aydin,5,Boy,2021
710,Azaan,5,Boy,2021
710,Benny,5,Boy,2021
710,Billy ,5,Boy,2021
710,Blaze ,5,Boy,2021
710,Boaz ,5,Boy,2021
710,Bodie ,5,Boy,2021
710,Brantley ,5,Boy,2021
710,Brock ,5,Boy,2021
710,Brycen ,5,Boy,2021
710,Caelan ,5,Boy,2021
710,Caiden ,5,Boy,2021
710,Cedar ,5,Boy,2021
710,Cian ,5,Boy,2021
710,Cormac ,5,Boy,2021
710,Creed ,5,Boy,2021
710,Dan ,5,Boy,2021
710,Davis ,5,Boy,2021
710,Deklan ,5,Boy,2021
710,Derek ,5,Boy,2021
710,Diego ,5,Boy,2021
710,Dion ,5,Boy,2021
710,Donovan ,5,Boy,2021
710,Eden ,5,Boy,2021
710,Ernie,5,Boy,2021
710,Félix,5,Boy,2021
710,Fionn ,5,Boy,2021
710,Frankie ,5,Boy,2021
710,Fraser ,5,Boy,2021
710,Gael,5,Boy,2021
710,Gray ,5,Boy,2021
